specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
5611,UCMP,ucmp,,v,218353,218353,,,,
5612,UCMP,ucmp,,v,218354,218354,,,,
5613,UCMP,ucmp,,v,218356,218356,,,,
5614,UCMP,ucmp,,v,218341,218341,,,,
5615,UCMP,ucmp,,v,218342,218342,,,,
5616,UCMP,ucmp,,v,218190,218190,,,,
5617,UCMP,ucmp,,v,218319,218319,,,,
5618,UCMP,ucmp,,v,218320,218320,,,,
5620,UCMP,ucmp,,v,218391,218391,,,,
5622,UCMP,ucmp,,v,218392,218392,,,,
5623,UCMP,ucmp,,v,218431,218431,,,,
5624,UCMP,ucmp,,v,218430,218430,,,,
5625,UCMP,ucmp,,v,218422,218422,,,,
5626,UCMP,ucmp,,v,218424,218424,,,,
5627,UCMP,ucmp,,v,218428,218428,,,,
5628,UCMP,ucmp,,v,218423,218423,,,,
5629,UCMP,ucmp,,v,218425,218425,,,,
5630,UCMP,ucmp,,v,218427,218427,,,,
5631,UCMP,ucmp,,v,218344,218344,Anemorhysis,,pearcei,
5632,USNM,usnm,,paleobiology,463933,pal463933,Callimico,girtyspira,goeldii,microspirula
5633,AMNH,amnh,M,mammals,103468,m-103468,Nasalis,nasalis,larvatus,larvatus
5634,AMNH,amnh,M,mammals,103469,m-103469,Nasalis,nasalis,larvatus,larvatus
5635,UF,uf,,mammals,6689,6689,Macropus,macropus,rufus,rufus
5636,UF,uf,,mammals,10564,10564,Caluromys,caluromys,derbianus,derbianus
5637,UF,uf,,mammals,13718,13718,Philander,philander,opossum,opossum
5638,UF,uf,,mammals,13732,13732,Chironectes,chironectes,minimus,minimus
5639,UF,uf,,mammals,20625,20625,Caluromys,caluromys,derbianus,derbianus
5640,UF,uf,,mammals,23859,23859,Marmosa,marmosa,derbianus,robinsoni
5641,UF,uf,H,herp,2900-10,2900,Anolis,anolis,carolinensis,carolinensis
5642,UF,uf,H,herp,2900-13,2900,Anolis,anolis,carolinensis,carolinensis
5643,USNM,usnm,,paleobiology,395455,pal395455,Callimico,genus,goeldii,sp
5644,USNM,usnm,,paleobiology,464991,pal464991,Callimico,cryptoblastus,goeldii,melo
5645,USNM,usnm,,paleobiology,575153,pal575153,Callimico,,goeldii,
5646,USNM,usnm,,paleobiology,583199,pal583199,Callimico,genus,goeldii,sp
5647,USNM,usnm,,paleobiology,399069,pal399069,Callithrix,genus,argentata,sp
5648,USNM,usnm,,paleobiology,518553,pal518553,Callithrix,heliophyllum,geoffroyi,halli
5649,USNM,usnm,,paleobiology,582900,pal582900,Callithrix,genus,geoffroyi,sp
5650,USNM,usnm,,paleobiology,398848,pal398848,Callithrix,genus,jacchus,sp
5651,USNM,usnm,,paleobiology,399034,pal399034,Callithrix,thambetochen,jacchus,sp
5652,USNM,usnm,,paleobiology,399036,pal399036,Callithrix,branta,jacchus,sp
5653,USNM,usnm,,paleobiology,399037,pal399037,Callithrix,branta,jacchus,sp
5654,USNM,usnm,,paleobiology,574137,pal574137,Callithrix,genus,argentata,sp
5657,USNM,usnm,,paleobiology,337319,pal337319,Cebuella,dzieduszyckia,pygmaea,sonora
5658,USNM,usnm,,paleobiology,337320,pal337320,Cebuella,dzieduszyckia,pygmaea,sonora
5659,USNM,usnm,,paleobiology,337321,pal337321,Cebuella,dzieduszyckia,pygmaea,sonora
5660,USNM,usnm,,paleobiology,337322,pal337322,Cebuella,dzieduszyckia,pygmaea,sonora
5661,USNM,usnm,,paleobiology,337328,pal337328,Cebuella,borelis,pygmaea,schlumbergeri
5662,USNM,usnm,,paleobiology,337948,pal337948,Cebuella,stegosaurus,pygmaea,sp
5663,USNM,usnm,,paleobiology,464990,pal464990,Cebuella,cryptoblastus,pygmaea,melo
5665,USNM,usnm,,paleobiology,588152,pal588152,Leontopithecus,,rosalia,
5666,USNM,usnm,,paleobiology,588176,pal588176,Leontopithecus,genus,rosalia,sp
5667,USNM,usnm,,paleobiology,588177,pal588177,Leontopithecus,genus,rosalia,sp
5674,USNM,usnm,,paleobiology,336325,pal336325,Cebuella,genus,pygmaea,sp
5675,UCMP,ucmp,,v,218169,218169,,,,
5676,UCMP,ucmp,,v,218178,218178,,,,
5677,UCMP,ucmp,,v,218176,218176,,,,
5678,UCMP,ucmp,,v,218202,218202,,,,
5679,UCMP,ucmp,,v,218132,218132,,,,
5680,UCMP,ucmp,,v,218125,218125,,,,
5681,UCMP,ucmp,,v,218137,218137,,,,
