Filename,Compressed size,Uncompressed size
/nfs/images/media/morphosource/images/7/2/8068_ms_media_files_media_7282_archive_.zip,59225027,157966
/nfs/images/media/morphosource/images/7/2/48069_ms_media_files_media_7276_archive_.zip,43001382,178207
/nfs/images/media/morphosource/images/7/2/19321_ms_media_files_media_7288_archive_.zip,246346715,359022
/nfs/images/media/morphosource/images/7/2/85719_ms_media_files_media_7297_archive_.zip,46605785,269422
/nfs/images/media/morphosource/images/7/2/14399_ms_media_files_media_7200_archive_.zip,172703976,264326
/nfs/images/media/morphosource/images/7/2/16929_ms_media_files_media_7285_archive_.zip,259389183,374094
/nfs/images/media/morphosource/images/7/2/68291_ms_media_files_media_7236_archive_.zip,215543897,266870
/nfs/images/media/morphosource/images/7/2/43042_ms_media_files_media_7224_archive_.zip,278044514,370274
/nfs/images/media/morphosource/images/7/2/59835_ms_media_files_media_7248_archive_.zip,197887892,329905
/nfs/images/media/morphosource/images/7/2/76912_ms_media_files_media_7260_archive_.zip,228119472,327758
/nfs/images/media/morphosource/images/7/2/91811_ms_media_files_media_7215_archive_.zip,52214927,330192
/nfs/images/media/morphosource/images/7/2/72293_ms_media_files_media_7212_archive_.zip,53195488,207690
/nfs/images/media/morphosource/images/7/2/6397_ms_media_files_media_7271_archive_.zip,28566252,150878
/nfs/images/media/morphosource/images/7/2/86561_ms_media_files_media_7203_archive_.zip,285946447,439798
/nfs/images/media/morphosource/images/7/2/40769_ms_media_files_media_7267_archive_.zip,48885560,166782
/nfs/images/media/morphosource/images/7/2/13731_ms_media_files_media_7294_archive_.zip,215116989,329422
/nfs/images/media/morphosource/images/7/2/46919_ms_media_files_media_7230_archive_.zip,315547983,350914
/nfs/images/media/morphosource/images/7/2/80632_ms_media_files_media_7252_archive_.zip,168329061,264609
/nfs/images/media/morphosource/images/7/2/59376_ms_media_files_media_7243_archive_.zip,21338244,113970
/nfs/images/media/morphosource/images/7/2/21069_ms_media_files_media_7249_archive_.zip,305806396,510385
/nfs/images/media/morphosource/images/7/2/29100_ms_media_files_media_7209_archive_.zip,169789447,277094
/nfs/images/media/morphosource/images/7/2/76578_ms_media_files_media_7221_archive_.zip,20583881,172174
/nfs/images/media/morphosource/images/7/0/69346_ms_media_files_media_7040_archive_.zip,198627067,254250
/nfs/images/media/morphosource/images/7/0/93468_ms_media_files_media_7034_archive_.zip,226235207,284162
/nfs/images/media/morphosource/images/7/0/76616_ms_media_files_media_7061_archive_.zip,319117080,588447
/nfs/images/media/morphosource/images/7/0/14102_ms_media_files_media_7059_archive_.zip,138889136,219095
/nfs/images/media/morphosource/images/7/0/27208_ms_media_files_media_7070_archive_.zip,76787418,272247
/nfs/images/media/morphosource/images/7/0/65759_ms_media_files_media_7029_archive_.zip,138974211,292296
/nfs/images/media/morphosource/images/7/0/23084_ms_media_files_media_7086_archive_.zip,648034907,819250
/nfs/images/media/morphosource/images/7/0/54560_ms_media_files_media_7049_archive_.zip,164525135,407503
/nfs/images/media/morphosource/images/7/0/31868_ms_media_files_media_7067_archive_.zip,40174499,153567
/nfs/images/media/morphosource/images/7/0/52318_ms_media_files_media_7008_archive_.zip,140437932,258366
/nfs/images/media/morphosource/images/7/0/20706_ms_media_files_media_7064_archive_.zip,74295240,181287
/nfs/images/media/morphosource/images/7/0/66264_ms_media_files_media_7083_archive_.zip,531563597,655647
/nfs/images/media/morphosource/images/7/0/60088_ms_media_files_media_7023_archive_.zip,300649718,583618
/nfs/images/media/morphosource/images/7/0/59947_ms_media_files_media_7056_archive_.zip,204051696,275727
/nfs/images/media/morphosource/images/7/0/64165_ms_media_files_media_7052_archive_.zip,229278638,365847
/nfs/images/media/morphosource/images/7/0/70254_ms_media_files_media_7011_archive_.zip,103328694,504276
/nfs/images/media/morphosource/images/7/0/23992_ms_media_files_media_7092_archive_.zip,56050977,229842
/nfs/images/media/morphosource/images/7/0/94201_ms_media_files_media_7089_archive_.zip,481234267,703744
/nfs/images/media/morphosource/images/7/0/28057_ms_media_files_media_7005_archive_.zip,160706695,271616
/nfs/images/media/morphosource/images/7/0/80386_ms_media_files_media_7017_archive_.zip,312800931,853482
/nfs/images/media/morphosource/images/7/0/32489_ms_media_files_media_7012_archive_.zip,81511579,339146
/nfs/images/media/morphosource/images/7/0/37466_ms_media_files_media_7095_archive_.zip,41628889,176216
/nfs/images/media/morphosource/images/7/0/751_ms_media_files_media_7043_archive_.zip,232085419,338196
/nfs/images/media/morphosource/images/7/0/26385_ms_media_files_media_7080_archive_.zip,402420065,518640
/nfs/images/media/morphosource/images/7/0/25286_ms_media_files_media_7037_archive_.zip,177704426,205200
/nfs/images/media/morphosource/images/7/0/14911_ms_media_files_media_7002_archive_.zip,130957311,209798
/nfs/images/media/morphosource/images/7/0/31928_ms_media_files_media_7026_archive_.zip,209201765,607178
/nfs/images/media/morphosource/images/7/0/7689_ms_media_files_media_7020_archive_.zip,274425551,603992
/nfs/images/media/morphosource/images/7/0/92862_ms_media_files_media_7098_archive_.zip,107392657,329876
/nfs/images/media/morphosource/images/7/0/79500_ms_media_files_media_7046_archive_.zip,78635749,117642
/nfs/images/media/morphosource/images/7/0/22147_ms_media_files_media_7076_archive_.zip,128220171,316008
/nfs/images/media/morphosource/images/7/0/83056_ms_media_files_media_7073_archive_.zip,91984179,246208
/nfs/images/media/morphosource/images/1/73938_ms_media_media_127_archive_.zip,592246,370932
/nfs/images/media/morphosource/images/1/72086_ms_media_media_122_archive_.zip,1066163,571446
/nfs/images/media/morphosource/images/1/75043_ms_media_media_101_archive_.zip,456381,263168
/nfs/images/media/morphosource/images/1/31407_ms_media_media_183_archive_.zip,473048,234100
/nfs/images/media/morphosource/images/1/64528_ms_media_media_175_archive_.zip,473218,266484
